Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
25 Mar 26,-40.00,Card ending 3696,,PURCHASE AUTHORISATION,PAYPAL *ROBATTAPREC 4029357733 036,-1360.44,Other shopping,PayPal,
24 Mar 26,-468.70,Card ending 3696,,PURCHASE AUTHORISATION,PURCHASE AUTHORISATION,-1320.44,Uncategorised,,
24 Mar 26,-176.05,Card ending 3696,,PURCHASE AUTHORISATION,PURCHASE AUTHORISATION,-851.74,Uncategorised,,
24 Mar 26,-15.99,Card ending 3696,,PURCHASE AUTHORISATION,AMAZON MARKETPLACE AU +61866216107 036,-675.69,Other shopping,Amazon,
24 Mar 26,-12.99,Card ending 3696,,PURCHASE AUTHORISATION,AMAZON RETA* AMAZON AU +61866216107 036,-659.70,Other shopping,Amazon,
24 Mar 26,-153.28,Card ending 3696,,PURCHASE AUTHORISATION,AMAZON MARKETPLACE AU +61866216107 036,-646.71,Other shopping,Amazon,
24 Mar 26,-5.50,Card ending 3696,,PURCHASE AUTHORISATION,AMAZON RETA* AMAZON AU +61866216107 036,-493.43,Other shopping,Amazon,
24 Mar 26,-60.00,Card ending 3696,,PURCHASE AUTHORISATION,BONBONS BAKERY +61395882088 036,-487.93,Groceries,Bonbons Bakery (Mordialloc),
24 Mar 26,-16.62,Card ending 3696,,PURCHASE AUTHORISATION,AMAZON RETA* AMAZON AU +61866216107 036,-427.93,Other shopping,Amazon,
24 Mar 26,-46.00,Card ending 3696,,CREDIT CARD PURCHASE,COM*MSP PHOTOGRAPHY BALWYN NORTH,-411.31,Other shopping,CompassPay,24 Mar 26
24 Mar 26,-30.44,Card ending 3696,,CREDIT CARD PURCHASE,RITCHIES CARRUM DOWN CARRUM DOWNS,-365.31,Groceries,Ritchies Supa IGA (Carrum Downs),24 Mar 26
24 Mar 26,-94.78,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-334.87,Other shopping,Amazon,24 Mar 26
24 Mar 26,-76.12,Card ending 3696,,CREDIT CARD PURCHASE,7-ELEVEN 1348 CRANBOURNE WE,-240.09,Fuel,7-Eleven (Cranbourne West),24 Mar 26
24 Mar 26,-66.93,Card ending 3696,,CREDIT CARD PURCHASE,Ezypay*Air Locker TraininSydney,-163.97,Gym & fitness,Air Locker,24 Mar 26
24 Mar 26,9.62,Card ending 3696,,CREDIT CARD REFUND,TEMU.COM PARRAMATTA,-81.05,Refund,Temu Australia,24 Mar 26
24 Mar 26,5.81,Card ending 3696,,CREDIT CARD REFUND,TEMU.COM PARRAMATTA,-90.67,Refund,Temu Australia,24 Mar 26
23 Mar 26,-15.99,Card ending 3696,,PURCHASE AUTHORISATION,help.hbomax.com St. Leonards 036,-97.04,Subscriptions,HBO Max,
23 Mar 26,-2.99,Card ending 3696,,CREDIT CARD PURCHASE,PRIME VIDE* AD FREE FO SYDNEY,-96.48,Subscriptions,Amazon Prime Video,23 Mar 26
23 Mar 26,-2.04,Card ending 3696,,CREDIT CARD PURCHASE,POINTPARKING BAYSIDE FRANKSTON,-93.49,Parking & tolls,Point Parking (Bayside Shopping Centre),23 Mar 26
